"국가별","항목","단위","2015 년","2016 년","2017 년",
"페루","조혼인율[‰]","‰","2.76682","2.98819","2.45598",
"페루","조이혼율[‰]","‰",".44161",".47982","",
"페루","연평균인구증가율[%]","%","1.11536","1.10879","1.10264",
"페루","인구밀도[㎢당]","㎢당","24.23845","24.50065","24.76317",
"푸에르토리코","조출생률[‰]","‰","8.99492","8.30884","7.30258",
"푸에르토리코","조사망률[‰]","‰","8.17953","8.69139","9.2824",
"푸에르토리코","자연증가율[‰]","‰",".81539","-.38255","-1.97982",
"푸에르토리코","조혼인율[‰]","‰","4.89522","4.66302","3.83348",
"푸에르토리코","조이혼율[‰]","‰","3.41963","3.22398","2.55156",
"푸에르토리코","연평균인구증가율[%]","%","-1.37379","-1.44921","-1.55604",
"푸에르토리코","인구밀도[㎢당]","㎢당","391.76613","384.67603","376.31676",
"세인트루시아","인구밀도[㎢당]","㎢당","320.62709","","",
"세인트빈센트그레나딘","조혼인율[‰]","‰","5.2061","","",
"세인트빈센트그레나딘","연평균인구증가율[%]","%",".08006","","",
"세인트빈센트그레나딘","인구밀도[㎢당]","㎢당","283.43258","","",
"수리남","조출생률[‰]","‰","17.88853","17.21194","",
"수리남","조사망률[‰]","‰","6.457","6.23694","",
"수리남","자연증가율[‰]","‰","11.43152","10.975","",
"수리남","조혼인율[‰]","‰","3.54316","3.69075","",
"수리남","조이혼율[‰]","‰","1.29211","1.10462","",
"우루과이","조출생률[‰]","‰","14.11169","13.52155","",
"우루과이","조사망률[‰]","‰","9.50865","9.84794","",
"우루과이","자연증가율[‰]","‰","4.60304","3.67362","",
"우루과이","조혼인율[‰]","‰","2.74037","2.82166","",
"우루과이","연평균인구증가율[%]","%",".40998",".40483",".40019",
"우루과이","인구밀도[㎢당]","㎢당","19.96852","20.04436","20.11913",
"베네수엘라","조사망률[‰]","‰","5.36948","6.01287","5.79647",
"베네수엘라","조혼인율[‰]","‰","3.00721","2.73122","2.46384",
"베네수엘라","연평균인구증가율[%]","%","1.41813","1.40251","1.3161",
"베네수엘라","인구밀도[㎢당]","㎢당","33.57316","34.02076","33.64254",
"알바니아","조출생률[‰]","‰","11.53225","11.03334","10.74281",
"알바니아","조사망률[‰]","‰","7.78352","7.43646","7.73702",
"알바니아","자연증가율[‰]","‰","3.74874","3.59688","3.00579",
"알바니아","조이혼율[‰]","‰","1.30558","1.94082","",
"알바니아","연평균인구증가율[%]","%","-.16446","-.15517","",
"알바니아","인구밀도[㎢당]","㎢당","100.49969","100.3905","99.95332",
"안도라","조출생률[‰]","‰","9.29465","8.76199","",
"안도라","조사망률[‰]","‰","3.97738","4.28425","",
"안도라","자연증가율[‰]","‰","5.31727","4.47774","",
"안도라","조혼인율[‰]","‰","4.01969","4.07695","",
"안도라","연평균인구증가율[%]","%","",".48327","",
"안도라","인구밀도[㎢당]","㎢당","","154.61111","",
"오스트리아","조출생률[‰]","‰","9.77821","10.03169","9.96105",
"오스트리아","조사망률[‰]","‰","9.62663","9.23007","9.46512",
"오스트리아","자연증가율[‰]","‰",".15157",".80162",".49593",
"오스트리아","조혼인율[‰]","‰","5.15696","5.13627","5.11289",
"오스트리아","조이혼율[‰]","‰","1.89478","1.82144","1.83915",
"오스트리아","연평균인구증가율[%]","%",".50823",".64326",".68682",
"오스트리아","인구밀도[㎢당]","㎢당","102.25538","103.59825","104.58521",
"벨라루스","조출생률[‰]","‰","12.54297","12.39579","10.79734",
"벨라루스","조사망률[‰]","‰","12.64814","12.56418","12.56135",
"벨라루스","자연증가율[‰]","‰","-.10517","-.16839","-1.76401",
"벨라루스","조혼인율[‰]","‰","8.64419","6.79217","6.97127",
"벨라루스","조이혼율[‰]","‰","3.4758","3.43397","3.36967",
"벨라루스","연평균인구증가율[%]","%","-.02048",".01366",".01156",
"벨라루스","인구밀도[㎢당]","㎢당","45.66892","45.7532","45.75272",
"벨기에","조출생률[‰]","‰","10.83531","10.75734","10.51536",
"벨기에","조사망률[‰]","‰","9.79559","9.53958","9.63471",
"벨기에","자연증가율[‰]","‰","1.03972","1.21776",".88066",
"벨기에","조혼인율[‰]","‰","3.54894","3.94699","3.89365",
"벨기에","조이혼율[‰]","‰","2.16345","2.0812","2.02585",
"벨기에","연평균인구증가율[%]","%",".6551",".62373",".62436",
"벨기에","인구밀도[㎢당]","㎢당","368.79042","370.51615","372.85092",
"보스니아-헤르체고비나","조출생률[‰]","‰","8.2166","8.33837","8.30777",
"보스니아-헤르체고비나","조사망률[‰]","‰","10.53724","10.11962","10.35294",
"보스니아-헤르체고비나","자연증가율[‰]","‰","-2.32064","-1.78126","-2.04517",
"보스니아-헤르체고비나","조혼인율[‰]","‰","5.59409","5.47793","5.58932",
"보스니아-헤르체고비나","조이혼율[‰]","‰",".56765",".51182",".55873",
"보스니아-헤르체고비나","연평균인구증가율[%]","%","","-1.49762","",
"보스니아-헤르체고비나","인구밀도[㎢당]","㎢당","","68.59839","68.53733",
"불가리아","조출생률[‰]","‰","9.18781","9.11695","9.03837",
"불가리아","조사망률[‰]","‰","15.34092","15.09297","15.51609",
"불가리아","자연증가율[‰]","‰","-6.15311","-5.97602","-6.47772",
