"CountryCode","C1_School_closing","C2_Workplace_closing","C3_Cancel_public_events","C4_Restrictions_on_gatherings","C5_Close_public_transport","C6_Stay_at_home_requirements","C7_Restrictions_on_internal_movement","C8_International_travel_controls","E1_Income_support","E2_Debt_contract_relief","H1_Public_information_campaigns","H2_Testing_policy","H3_Contact_tracing","StringencyIndex","Days","Government","Nationwide_ConfirmedCases","Nationwide_DailyConfirmed","Capital_ConfirmedCases","Capital_DailyConfirmed","NonCapital_ConfirmedCases","NonCapital_DailyConfirmed"
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",122,1,10593,30,1621,28,8972,2
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",123,1,10604,11,1631,10,8973,1
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",124,1,10617,13,1640,9,8977,4
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",125,1,10637,20,1657,17,8980,3
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",126,1,10658,21,1671,14,8987,7
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",127,1,10673,15,1684,13,8989,2
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",128,1,10690,17,1698,14,8992,3
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",129,1,10729,39,1734,36,8995,3
"KOR",0.75,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"39.81",130,1,10801,72,1801,67,9000,5
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",131,1,10859,58,1859,58,9000,0
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",132,1,10893,34,1886,27,9007,7
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",133,1,10919,26,1907,21,9012,5
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",134,1,10952,33,1938,31,9014,2
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",135,1,10989,37,1975,37,9014,0
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",136,1,11038,49,2023,48,9015,1
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",137,1,11075,37,2059,36,9016,1
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",138,1,11113,38,2093,34,9020,4
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",139,1,11159,46,2135,42,9024,4
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",140,1,11214,55,2187,52,9027,3
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",141,1,11249,35,2221,34,9028,1
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",142,1,11287,38,2256,35,9031,3
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",143,1,11331,44,2297,41,9034,3
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",144,1,11374,43,2340,43,9034,0
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",145,1,11420,46,2385,45,9035,1
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",146,1,11467,47,2428,43,9039,4
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",147,1,11500,33,2458,30,9042,3
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",148,1,11529,29,2483,25,9046,4
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",149,1,11554,25,2502,19,9052,6
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",150,1,11589,35,2530,28,9059,7
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",151,1,11644,55,2572,42,9072,13
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",152,1,11679,35,2601,29,9078,6
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",153,1,11728,49,2637,36,9091,13
"KOR",0.75,0.5,0.666666666666667,0.8,0,0.25,0.333333333333333,0.8,0.666666666666667,0.5,1,1,1,"56.94",154,1,11772,44,2664,27,9108,17
