"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Norway",-4.51062470927426,-0.126381397792818,3.97501276819592,0.123218593583787,-0.104323041195766,93,-7.63401204370135,-0.137567165083907,4.96025413537338,0.131477944477869,-0.146479235609825,97
"Oman",-63.5156438412844,-0.458359291702668,23.186309328413,0.270578066130228,-0.226813067087307,64,-72.4455059297697,-0.455857231366828,25.4066581801947,0.256294567487521,-0.213977411780383,69
"Pakistan",0.573383336742135,0.0297416026906214,1.07863017864857,-0.0788249082480321,0.073652870060912,104,-0.822735714752985,0.0247877410599433,1.44911835367204,-0.0758142435724064,0.0555060313035362,109
"Palestine",-31.7766128992411,-0.472450013086666,14.2839966346349,0.384600091693362,0.385809128070631,59,-28.1666360552541,-0.409062551872252,12.657422925874,0.333557661444837,0.535651913327365,62
"Panama",-12.5666467257007,-0.193018009134565,6.91022828170315,0.144808944913291,-0.00385202942984161,56,-15.0085747557767,-0.184909906015806,7.48747458228183,0.134187985013505,0.0025028805029701,61
"Papua_New_Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",-1.77445006140568,-0.00620942468402766,1.21422322828204,0.039869341852447,-0.0129774077485675,95,-1.92535165075106,-0.00360644655953711,1.1934945567114,0.0387511159970548,-0.0320634615950338,99
"Peru",-14.3797887530844,-0.0749639609095164,6.55352825360641,0.0497747253704039,-0.00542107840712311,121,5.76751876099863,0.13251354891742,-1.29819195264306,-0.11492095646024,0.054338361022985,58
"Philippines",-31.9412735433678,-0.127157525480994,10.8545908975522,0.0908728123755285,-0.0901990531800789,107,-29.4839436401068,-0.106161494283799,9.89177715693781,0.0781921375274018,-0.0900350955257395,112
"Poland",-0.839701275993213,-0.0307448257743245,2.11047133973706,0.035294869459496,0.0182720828416601,121,-2.30373550952323,-0.0341703796994441,2.51123413583185,0.0388633769953554,0.000789139958184801,125
"Portugal",-9.34843932026711,-0.157896096581559,5.99784831900328,0.108773656986817,-0.0589623500367018,70,-13.7872068980403,-0.175274374446294,7.3819564178412,0.115366564695968,-0.0819979257589717,73
"Qatar",-1.34000543648416,0.0176774611818865,1.69391551360142,-0.05941050621963,0.0181117818773433,83,-3.2585377758529,0.0106657609976832,2.22139360025716,-0.0566155366124079,0.0208729818995759,87
"Romania",-13.8407934860231,-0.128541836320608,6.67329622834945,0.104161682134178,-0.0123732338624937,89,-16.7264300391699,-0.131206896949708,7.42686665465443,0.104359235200219,-0.0261085098884608,94
"Russia",-3.11003896376479,0.0840854242314453,1.03145629598943,-0.0987488693203536,0.012807322352077,92,-4.21171595242604,0.0866237742599138,1.15618600635721,-0.102724764224635,0.0517782270626127,94
"Rwanda",0.18918236789453,0.0122735119037725,0.310847444329957,0.0341972019037972,0.14738978928853,150,-0.0303324202077391,-0.0145878697293986,0.603133417865913,0.0334333419981421,0.0461760709375236,63
"Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Vincent_and_the_Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San_Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao_Tome_and_Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
